Timestamp, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, ss_qx, ss_qy, ss_qz, ss_qw, stillness
728, -0.002443389, 0.01099525, 0.002443389, -0.01538086, 1.012695, 0.0078125, -0.03550297, -0.2569392, 0.2361022, -0.0002727534, -2.652477E-05, 0.0002442767, 0.9999999, 0.9910907
737, -0.02076881, 0.01588203, 0, -0.01098633, 1.010498, 0.007324219, -0.03550849, -0.2569564, 0.236114, -0.0002268387, -4.691735E-05, 0.0002406652, 1, 0.9907486
756, -0.009773556, 0.008551861, -0.007330167, -0.0144043, 1.009277, 0.009277344, -0.03558691, -0.2569731, 0.2360891, -0.0002550159, -7.443639E-05, 0.0002179057, 1, 0.9954314
766, -0.004886778, 0.01588203, -0.008551861, -0.01293945, 1.010254, 0.0078125, -0.03563625, -0.2569804, 0.2361014, -0.00024725, -6.920403E-05, 0.0001857331, 1, 0.9987318
773, -0.006108472, 0.0219905, 0.003665083, -0.01171875, 1.011963, 0.01318359, -0.03562189, -0.2569866, 0.2361736, -0.0002505923, -1.536583E-05, 0.0001898574, 1, 0.9966887
784, 0.01343864, 0.003665083, 0.002443389, -0.01318359, 1.009277, 0.01220703, -0.03555201, -0.2570028, 0.2362205, -0.0002415384, 2.290956E-05, 0.0001989082, 1, 0.9966887
794, -0.01954711, 0.02321219, 0.01832542, -0.0144043, 1.012451, 0.006347656, -0.03553829, -0.2570187, 0.2362117, -0.0001619636, -2.993373E-05, 0.0001977941, 1, 0.9937466
803, 0.006108472, 0.01466033, 0.01466033, -0.01318359, 1.012695, 0.0078125, -0.03553401, -0.257025, 0.2362123, -0.0001591279, 2.077628E-05, 0.0002547735, 0.9999999, 0.9928203
810, -0.001221695, 0.008551861, -0.008551861, -0.01611328, 1.012695, 0.009765625, -0.03552056, -0.257013, 0.2362403, -0.0001147943, 2.637276E-05, 0.0002644345, 0.9999999, 0.9889929
820, 0.01588203, 0.007330167, 0.002443389, -0.009765625, 1.010498, 0.006591797, -0.0354892, -0.2569921, 0.2362859, -6.35793E-05, -1.288133E-05, 0.0002826683, 1, 0.9916686
830, -0.008551861, 0.002443389, 0.008551861, -0.01733398, 1.012695, 0.005859375, -0.03555233, -0.2569888, 0.2363526, -7.383479E-05, -2.594233E-05, 0.0002725138, 1, 0.991603
840, 0.006108472, 0.01832542, 0.009773556, -0.01367188, 1.006836, 0.01025391, -0.03555686, -0.2569866, 0.2363412, -8.168869E-05, -4.735883E-05, 0.0002862638, 1, 0.9954303
846, -0.01343864, 0.01343864, 0.003665083, -0.01611328, 1.013184, 0.01123047, -0.03555212, -0.2569846, 0.2363209, -5.58946E-05, -4.281203E-05, 0.0003112331, 1, 0.9916873
858, -0.01099525, 0.01588203, 0.001221695, -0.01123047, 1.012695, 0.008789063, -0.0355384, -0.2569825, 0.2362919, -6.755791E-05, -5.434561E-05, 0.0003153079, 1, 0.9917738
868, -0.008551861, 0.02076881, -0.003665083, -0.01171875, 1.007324, 0.01025391, -0.03552495, -0.2569622, 0.2362999, -0.0001218184, -3.567457E-05, 0.0003132246, 1, 0.9917738
880, -0.007330167, 0.003665083, -0.01710372, -0.01464844, 1.009277, 0.01318359, -0.03551176, -0.2569607, 0.2362895, -9.655982E-05, -9.324776E-05, 0.0002506893, 1, 0.9962724
889, -0.007330167, 0.01466033, -0.007330167, -0.01147461, 1.026367, 0.008789063, -0.03549884, -0.2569774, 0.2362611, -0.000131207, -5.137548E-05, 0.0002268535, 1, 0.9780415
900, -0.009773556, 0.01343864, 0.01099525, -0.01269531, 1.02002, 0.004882813, -0.03550719, -0.2570018, 0.2363285, -0.0001362451, -6.120294E-05, 0.000222861, 0.9999999, 0.9645612
909, -0.004886778, 0.002443389, 0.01343864, -0.01831055, 1.006348, 0.01660156, -0.03545784, -0.2569811, 0.2363176, -0.0001190215, -2.927061E-05, 0.0002498629, 1, 0.9645612
917, -0.01221694, 0.01221694, 0, -0.01098633, 1.011719, 0.008789063, -0.035437, -0.2569884, 0.2363069, -7.082283E-05, -4.013561E-05, 0.0002809827, 1, 0.9840977
933, -0.01710372, 0.008551861, 0.002443389, -0.01196289, 1.013184, 0.00390625, -0.03544383, -0.2570227, 0.2362964, -5.208253E-05, -1.049957E-05, 0.0003053634, 0.9999999, 0.9932291
941, -0.001221695, 0.03542914, 0.01221694, -0.01538086, 1.004883, 0.008300781, -0.035414, -0.2570382, 0.2363044, -7.24151E-05, 2.145398E-05, 0.0003121668, 1, 0.9932291
950, -0.002443389, 0.009773556, -0.001221695, -0.015625, 1.017578, 0.009277344, -0.03539394, -0.2570442, 0.2363122, -7.208122E-05, 1.262587E-05, 0.0003350626, 1, 0.9853306
959, -0.006108472, 0.01343864, 0.01221694, -0.01538086, 1.015137, 0.0078125, -0.03539641, -0.2570028, 0.2363237, -8.391193E-05, 2.569375E-05, 0.0003387301, 1, 0.9826352
969, -0.008551861, 0.01466033, 0.007330167, -0.01318359, 1.01001, 0.006347656, -0.03541321, -0.256973, 0.2363403, -0.0001093418, 5.526663E-05, 0.0003613188, 1, 0.9824809
977, -0.01221694, 0, 0.003665083, -0.01293945, 1.020264, 0.008789063, -0.03543876, -0.2569529, 0.2363656, -8.545164E-05, 3.536636E-05, 0.0003754754, 0.9999999, 0.9789568
987, -0.01466033, 0.01343864, -0.01343864, -0.01464844, 1.005371, 0.008300781, -0.03544555, -0.2569515, 0.2363905, -8.035678E-05, 8.842952E-06, 0.0003839491, 1, 0.986001
998, -0.02321219, 0.01099525, 0.004886778, -0.01904297, 1.013916, 0.007324219, -0.03545221, -0.2569226, 0.2363781, -8.949154E-05, -6.74701E-06, 0.0003864903, 0.9999999, 0.9806603
1010, -0.007330167, 0.01221694, -0.01588203, -0.01220703, 1.010498, 0.009765625, -0.03545873, -0.256867, 0.2363297, -0.0001190579, -1.070366E-06, 0.0003480326, 1, 0.9936797
1020, -0.004886778, 0.009773556, -0.008551861, -0.01245117, 1.012207, 0.008789063, -0.03549551, -0.2568674, 0.2362589, -0.0001553841, 1.897008E-05, 0.0003400511, 1, 0.9905841
1028, -0.004886778, 0.002443389, -0.007330167, -0.01489258, 1.010986, 0.007568359, -0.03551942, -0.2568494, 0.2362677, -0.0001523969, 3.407657E-05, 0.0003140548, 1, 0.9945802
1040, -0.0219905, 0.009773556, -0.004886778, -0.01391602, 1.015381, 0.01074219, -0.03555204, -0.256841, 0.2362762, -0.0001502623, -2.624904E-06, 0.0002959142, 1, 0.9880281
1047, -0.01343864, 0.01466033, 0.003665083, -0.01147461, 1.00708, 0.008544922, -0.03559308, -0.2568418, 0.2362846, -0.0002166628, 3.959972E-05, 0.0002973975, 1, 0.9911237
1057, 0, 0.01588203, 0.01588203, -0.01245117, 1.022461, 0.01171875, -0.03556028, -0.2568426, 0.2362928, -0.0002448732, 5.679966E-05, 0.0002826502, 1, 0.9758175
1067, 0.004886778, 0.002443389, 0.007330167, -0.01904297, 1.007324, 0.009277344, -0.03553731, -0.2568342, 0.23631, -0.0001852692, 4.001192E-05, 0.0003267893, 1, 0.9831948
1078, -0.01466033, 0.02321219, 0, -0.01245117, 1.012695, 0.005371094, -0.03552388, -0.2568169, 0.236336, -0.000173728, 9.771856E-05, 0.0003178373, 1, 0.9794801
1090, -0.004886778, 0.01099525, 0.002443389, -0.0168457, 1.015137, 0.008300781, -0.03553149, -0.256846, 0.2362922, -0.0001363427, 7.560583E-05, 0.0003374758, 1, 0.9892047
1098, -0.01221694, 0.01221694, -0.006108472, -0.01269531, 1.01123, 0.004150391, -0.03551817, -0.2568468, 0.2362638, -0.0001525293, 6.481842E-05, 0.0003459626, 1, 0.9874465
1108, -0.02321219, 0.01221694, 0.003665083, -0.01196289, 1.01001, 0.005859375, -0.03557815, -0.2567744, 0.2362541, -0.0001891422, 9.43277E-05, 0.0003433765, 1, 0.9910312
1119, -0.008551861, 0.03054236, -0.004886778, -0.01025391, 1.01001, 0.01123047, -0.03561859, -0.2567677, 0.2362447, -0.0001892815, 7.436972E-05, 0.0003400727, 1, 0.9979462
1127, -0.01221694, 0.01099525, -0.01099525, -0.01269531, 1.007568, 0.01489258, -0.03564005, -0.2568247, 0.2362354, -0.0001402777, 0.0001004846, 0.0002796391, 1, 0.9997044
1140, -0.02565558, 0.01099525, 0.002443389, -0.01489258, 1.015137, 0.008789063, -0.03562457, -0.2567893, 0.2362994, -0.0001816636, 8.054257E-05, 0.0002578587, 1, 0.9927891
1151, -0.003665083, 0.02443389, 0.003665083, -0.009765625, 1.015137, 0.008789063, -0.03560194, -0.2568288, 0.2362834, -0.0001662756, 5.52714E-05, 0.0002709228, 1, 0.9859924
1157, -0.01221694, 0.007330167, 0.003665083, -0.01147461, 1.008301, 0.01123047, -0.0355597, -0.2568571, 0.2362461, -0.0001831787, 0.0001076506, 0.0002777349, 1, 0.9859924
1170, -0.01710372, 0.03054236, 0.003665083, -0.01367188, 1.015869, 0.01171875, -0.03549106, -0.2568575, 0.2362185, -0.0001658559, 0.0001062674, 0.0002773564, 0.9999999, 0.9849995
1178, -0.007330167, 0, -0.007330167, -0.009521484, 1.009277, 0.005615234, -0.03547855, -0.2568763, 0.236228, -0.0001937348, 0.0001223809, 0.0002905012, 1, 0.9919618
1188, -0.004886778, 0.004886778, 0, -0.01367188, 1.01123, 0.008300781, -0.03546629, -0.2568855, 0.2362282, -0.0001878229, 6.164223E-05, 0.0002555527, 1, 0.9901525
1201, -0.03298575, 0.01343864, -0.001221695, -0.01489258, 1.016602, 0.0078125, -0.03545427, -0.2568854, 0.2362193, -0.0002382052, 3.454147E-05, 0.0002451325, 1, 0.9892032
1210, -0.008551861, 0.02076881, 0.008551861, -0.01074219, 1.010498, 0.009765625, -0.03535495, -0.2567763, 0.2362062, -0.0002388433, 6.117535E-05, 0.0002428315, 1, 0.9884
1220, 0.002443389, 0.007330167, -0.003665083, -0.009765625, 1.008789, 0.005859375, -0.0353634, -0.2567784, 0.2361978, -0.000228528, 6.59183E-05, 0.0002627344, 1, 0.9902093
1227, -0.01588203, 0.009773556, -0.008551861, -0.01196289, 1.015381, 0.01123047, -0.03539004, -0.2567621, 0.2361986, -0.0001793025, 2.569307E-05, 0.0002720103, 1, 0.9918456
1237, -0.01099525, 0.02932067, 0.008551861, -0.01489258, 1.005859, 0.008544922, -0.03543431, -0.2567279, 0.2362086, -0.0001673306, 1.948072E-05, 0.0002592476, 1, 0.9926488
1247, 0.007330167, 0.01099525, 0.006108472, -0.015625, 1.010986, 0.01074219, -0.0354777, -0.2567309, 0.2362183, -0.000172454, 5.144189E-05, 0.0002637468, 1, 0.9910967
